,dates,outcome.winner,teams,matchid
156,2017-01-18,South Africa,Bangladesh,1041523
157,2017-01-18,South Africa,South Africa,1041523
158,2017-01-20,South Africa,Bangladesh,1041525
159,2017-01-20,South Africa,South Africa,1041525
160,2016-11-18,Australia,Australia,1043953
161,2016-11-18,Australia,South Africa,1043953
164,2016-11-29,Australia,Australia,1043961
165,2016-11-29,Australia,South Africa,1043961
166,2016-09-18,Australia,Sri Lanka,1044203
167,2016-09-18,Australia,Australia,1044203
168,2016-09-25,Australia,Sri Lanka,1044209
169,2016-09-25,Australia,Australia,1044209
178,2016-11-13,New Zealand,New Zealand,1050609
179,2016-11-13,New Zealand,Pakistan,1050609
180,2016-11-17,New Zealand,New Zealand,1050611
181,2016-11-17,New Zealand,Pakistan,1050611
182,2017-02-26,New Zealand,New Zealand,1050623
183,2017-02-26,New Zealand,Australia,1050623
184,2017-03-02,Australia,New Zealand,1050625
185,2017-03-02,Australia,Australia,1050625
186,2017-03-05,Australia,New Zealand,1050627
187,2017-03-05,Australia,Australia,1050627
194,2016-11-15,England,Sri Lanka,1059195
195,2016-11-15,England,England,1059195
196,2016-11-17,England,Sri Lanka,1059196
197,2016-11-18,England,England,1059196
212,2016-11-09,England,Sri Lanka,1062580
213,2016-11-09,England,England,1062580
226,2017-02-07,India,Sri Lanka,1073401
227,2017-02-07,India,India,1073401
228,2017-02-07,South Africa,Pakistan,1073403
229,2017-02-07,South Africa,South Africa,1073403
230,2017-02-08,Sri Lanka,Sri Lanka,1073405
231,2017-02-08,Sri Lanka,Ireland,1073405
232,2017-02-08,Pakistan,Bangladesh,1073408
233,2017-02-08,Pakistan,Pakistan,1073408
234,2017-02-10,India,India,1073411
235,2017-02-10,India,Ireland,1073411
236,2017-02-11,South Africa,Bangladesh,1073413
237,2017-02-11,South Africa,South Africa,1073413
238,2017-02-15,India,India,1073421
239,2017-02-15,India,South Africa,1073421
240,2017-02-15,Sri Lanka,Sri Lanka,1073422
241,2017-02-15,Sri Lanka,Pakistan,1073422
242,2017-02-15,Bangladesh,Bangladesh,1073423
243,2017-02-15,Bangladesh,Ireland,1073423
244,2017-02-17,South Africa,Sri Lanka,1073424
245,2017-02-17,South Africa,South Africa,1073424
246,2017-02-17,India,Bangladesh,1073425
247,2017-02-17,India,India,1073425
248,2017-02-17,Pakistan,Ireland,1073426
249,2017-02-17,Pakistan,Pakistan,1073426
250,2017-02-19,India,India,1073427
251,2017-02-19,India,Pakistan,1073427
256,2017-02-21,India,India,1073430
257,2017-02-21,India,South Africa,1073430
296,2017-06-24,New Zealand,New Zealand,1085945
297,2017-06-24,New Zealand,Sri Lanka,1085945
298,2017-06-24,India,England,1085946
299,2017-06-24,India,India,1085946
300,2017-06-25,South Africa,Pakistan,1085947
301,2017-06-25,South Africa,South Africa,1085947
302,2017-06-26,Australia,Australia,1085948
303,2017-06-26,Australia,West Indies,1085948
306,2017-06-29,India,India,1085951
307,2017-06-29,India,West Indies,1085951
308,2017-06-29,Australia,Australia,1085952
309,2017-06-29,Australia,Sri Lanka,1085952
310,2017-07-02,England,England,1085953
311,2017-07-02,England,Sri Lanka,1085953
312,2017-07-02,Australia,Australia,1085954
313,2017-07-02,Australia,New Zealand,1085954
314,2017-07-02,India,India,1085955
315,2017-07-02,India,Pakistan,1085955
316,2017-07-02,South Africa,South Africa,1085956
317,2017-07-02,South Africa,West Indies,1085956
318,2017-07-05,England,England,1085957
319,2017-07-05,England,South Africa,1085957
320,2017-07-05,India,India,1085958
321,2017-07-05,India,Sri Lanka,1085958
322,2017-07-05,Australia,Australia,1085959
323,2017-07-05,Australia,Pakistan,1085959
324,2017-07-06,New Zealand,New Zealand,1085960
325,2017-07-06,New Zealand,West Indies,1085960
326,2017-07-08,New Zealand,New Zealand,1085961
327,2017-07-08,New Zealand,Pakistan,1085961
328,2017-07-08,South Africa,India,1085962
329,2017-07-08,South Africa,South Africa,1085962
330,2017-07-09,England,England,1085963
331,2017-07-09,England,Australia,1085963
332,2017-07-09,West Indies,Sri Lanka,1085964
333,2017-07-09,West Indies,West Indies,1085964
336,2017-07-12,South Africa,South Africa,1085966
337,2017-07-12,South Africa,Sri Lanka,1085966
338,2017-07-12,Australia,Australia,1085967
339,2017-07-12,Australia,India,1085967
340,2017-07-12,England,England,1085968
341,2017-07-12,England,New Zealand,1085968
342,2017-07-15,Australia,Australia,1085969
343,2017-07-15,Australia,South Africa,1085969
344,2017-07-15,England,England,1085970
345,2017-07-15,England,West Indies,1085970
346,2017-07-15,India,India,1085971
347,2017-07-15,India,New Zealand,1085971
348,2017-07-15,Sri Lanka,Pakistan,1085972
349,2017-07-15,Sri Lanka,Sri Lanka,1085972
350,2017-07-18,England,South Africa,1085973
351,2017-07-18,England,England,1085973
352,2017-07-20,India,India,1085974
353,2017-07-20,India,Australia,1085974
354,2017-07-23,England,England,1085975
355,2017-07-23,England,India,1085975
356,2017-10-22,Australia,England,1086063
357,2017-10-22,Australia,Australia,1086063
366,2017-05-07,India,India,1089521
367,2017-05-07,India,Ireland,1089521
368,2017-05-09,India,South Africa,1089522
369,2017-05-09,India,India,1089522
370,2017-05-11,South Africa,South Africa,1089524
371,2017-05-11,South Africa,Ireland,1089524
372,2017-05-17,South Africa,South Africa,1089528
373,2017-05-17,South Africa,India,1089528
374,2017-05-19,South Africa,South Africa,1089530
375,2017-05-19,South Africa,Ireland,1089530
376,2017-05-21,India,South Africa,1089533
377,2017-05-21,India,India,1089533
498,2017-10-31,New Zealand,New Zealand,1122904
499,2017-10-31,New Zealand,Pakistan,1122904
500,2017-11-02,New Zealand,Pakistan,1122905
501,2017-11-02,New Zealand,New Zealand,1122905
502,2017-11-05,Pakistan,New Zealand,1122906
503,2017-11-05,Pakistan,Pakistan,1122906
504,2018-02-07,India,India,1123204
505,2018-02-07,India,South Africa,1123204
506,2018-02-10,South Africa,India,1123205
507,2018-02-10,South Africa,South Africa,1123205
516,2018-06-09,South Africa,England,1126717
517,2018-06-09,South Africa,South Africa,1126717
518,2018-06-12,England,England,1126718
519,2018-06-12,England,South Africa,1126718
520,2018-06-15,England,South Africa,1126719
521,2018-06-15,England,England,1126719
522,2018-07-07,England,England,1126727
523,2018-07-07,England,New Zealand,1126727
524,2018-07-10,England,England,1126728
525,2018-07-10,England,New Zealand,1126728
526,2018-07-13,New Zealand,England,1126729
527,2018-07-13,New Zealand,New Zealand,1126729
542,2018-03-12,Australia,India,1131232
543,2018-03-12,Australia,Australia,1131232
544,2018-03-15,Australia,Australia,1131233
545,2018-03-15,Australia,India,1131233
558,2018-04-09,England,India,1131777
559,2018-04-09,England,England,1131777
560,2018-04-12,India,England,1131778
561,2018-04-12,India,India,1131778
618,2018-03-04,New Zealand,New Zealand,1138191
619,2018-03-04,New Zealand,West Indies,1138191
620,2018-03-08,New Zealand,West Indies,1138192
621,2018-03-08,New Zealand,New Zealand,1138192
622,2018-03-11,New Zealand,New Zealand,1138193
623,2018-03-11,New Zealand,West Indies,1138193
624,2018-03-22,Pakistan,Pakistan,1138200
625,2018-03-22,Pakistan,Sri Lanka,1138200
626,2018-03-24,Pakistan,Pakistan,1138201
627,2018-03-24,Pakistan,Sri Lanka,1138201
684,2018-05-04,South Africa,South Africa,1144435
685,2018-05-04,South Africa,Bangladesh,1144435
686,2018-05-06,South Africa,Bangladesh,1144436
687,2018-05-06,South Africa,South Africa,1144436
688,2018-05-09,South Africa,Bangladesh,1144437
689,2018-05-09,South Africa,South Africa,1144437
690,2018-05-11,South Africa,South Africa,1144438
691,2018-05-11,South Africa,Bangladesh,1144438
692,2018-05-14,South Africa,Bangladesh,1144439
693,2018-05-14,South Africa,South Africa,1144439
784,2019-02-22,Australia,Australia,1144982
785,2019-02-22,Australia,New Zealand,1144982
786,2019-02-24,Australia,Australia,1144983
787,2019-02-24,Australia,New Zealand,1144983
788,2019-03-03,Australia,Australia,1144984
789,2019-03-03,Australia,New Zealand,1144984
802,2018-06-10,New Zealand,New Zealand,1145892
803,2018-06-10,New Zealand,Ireland,1145892
886,2019-01-24,India,New Zealand,1153855
887,2019-01-24,India,India,1153855
888,2019-01-29,India,New Zealand,1153856
889,2019-01-29,India,India,1153856
890,2019-02-01,New Zealand,New Zealand,1153857
891,2019-02-01,New Zealand,India,1153857
894,2018-09-16,South Africa,South Africa,1156212
895,2018-09-16,South Africa,West Indies,1156212
896,2018-09-22,West Indies,West Indies,1156214
897,2018-09-22,West Indies,South Africa,1156214
904,2018-09-11,India,Sri Lanka,1157706
905,2018-09-11,India,India,1157706
906,2018-09-13,India,India,1157707
907,2018-09-13,India,Sri Lanka,1157707
908,2018-09-16,Sri Lanka,India,1157708
909,2018-09-16,Sri Lanka,Sri Lanka,1157708
932,2018-10-20,Australia,Australia,1161229
933,2018-10-20,Australia,Pakistan,1161229
934,2018-10-22,Australia,Australia,1161230
935,2018-10-22,Australia,Pakistan,1161230
936,2019-06-06,England,England,1168016
937,2019-06-06,England,West Indies,1168016
942,2019-07-02,Australia,England,1168022
943,2019-07-02,Australia,Australia,1168022
944,2019-07-04,Australia,England,1168023
945,2019-07-04,Australia,Australia,1168023
946,2019-07-07,Australia,England,1168024
947,2019-07-07,Australia,Australia,1168024
958,2019-02-11,South Africa,South Africa,1168164
959,2019-02-11,South Africa,Sri Lanka,1168164
962,2019-02-17,South Africa,South Africa,1168166
963,2019-02-17,South Africa,Sri Lanka,1168166
1006,2019-02-22,India,India,1172160
1007,2019-02-22,India,England,1172160
1008,2019-02-25,India,India,1172161
1009,2019-02-25,India,England,1172161
1010,2019-02-28,England,India,1172162
1011,2019-02-28,England,England,1172162
1012,2019-02-07,West Indies,Pakistan,1172210
1013,2019-02-07,West Indies,West Indies,1172210
1014,2019-02-09,Pakistan,Pakistan,1172211
1015,2019-02-09,Pakistan,West Indies,1172211
1032,2019-03-18,England,Sri Lanka,1176433
1033,2019-03-18,England,England,1176433
1034,2019-03-21,England,Sri Lanka,1176434
1035,2019-03-21,England,England,1176434
1036,2019-05-06,Pakistan,South Africa,1177015
1037,2019-05-06,Pakistan,Pakistan,1177015
1038,2019-05-09,South Africa,South Africa,1177016
1039,2019-05-09,South Africa,Pakistan,1177016
1048,2019-10-05,Australia,Australia,1183513
1049,2019-10-05,Australia,Sri Lanka,1183513
1050,2019-10-07,Australia,Australia,1183514
1051,2019-10-07,Australia,Sri Lanka,1183514
1052,2019-10-09,Australia,Australia,1183515
1053,2019-10-09,Australia,Sri Lanka,1183515
1086,2020-01-25,South Africa,New Zealand,1187714
1087,2020-01-25,South Africa,South Africa,1187714
1088,2020-01-27,South Africa,New Zealand,1187715
1089,2020-01-27,South Africa,South Africa,1187715
1090,2020-01-30,South Africa,New Zealand,1187716
1091,2020-01-30,South Africa,South Africa,1187716
1138,2019-09-11,Australia,West Indies,1198474
1139,2019-09-11,Australia,Australia,1198474
1154,2019-10-09,India,India,1200180
1155,2019-10-09,India,South Africa,1200180
1156,2019-10-11,India,India,1200181
1157,2019-10-11,India,South Africa,1200181
1158,2019-10-14,India,India,1200182
1159,2019-10-14,India,South Africa,1200182
1160,2019-11-03,India,West Indies,1202250
1161,2019-11-03,India,India,1202250
1162,2019-11-06,India,West Indies,1202251
1163,2019-11-06,India,India,1202251
1180,2019-12-09,England,England,1208344
1181,2019-12-09,England,Pakistan,1208344
1182,2019-12-12,England,England,1208345
1183,2019-12-12,England,Pakistan,1208345
1218,2020-10-03,Australia,New Zealand,1223944
1219,2020-10-03,Australia,Australia,1223944
1220,2020-10-05,Australia,New Zealand,1223945
1221,2020-10-05,Australia,Australia,1223945
1222,2020-10-07,Australia,Australia,1223946
1223,2020-10-07,Australia,New Zealand,1223946
1264,2021-01-20,South Africa,South Africa,1244843
1265,2021-01-20,South Africa,Pakistan,1244843
1266,2021-01-23,South Africa,South Africa,1244844
1267,2021-01-23,South Africa,Pakistan,1244844
1268,2021-01-26,South Africa,South Africa,1244845
1269,2021-01-26,South Africa,Pakistan,1244845
1270,2021-02-23,England,New Zealand,1249232
1271,2021-02-23,England,England,1249232
1272,2021-02-26,England,New Zealand,1249233
1273,2021-02-26,England,England,1249233
1274,2021-02-28,New Zealand,England,1249234
1275,2021-02-28,New Zealand,New Zealand,1249234
1276,2021-04-04,Australia,New Zealand,1249241
1277,2021-04-04,Australia,Australia,1249241
1278,2021-04-07,Australia,Australia,1249242
1279,2021-04-07,Australia,New Zealand,1249242
1280,2021-04-10,Australia,Australia,1249243
1281,2021-04-10,Australia,New Zealand,1249243
1300,2021-03-07,South Africa,India,1253267
1301,2021-03-07,South Africa,South Africa,1253267
1302,2021-03-09,India,South Africa,1253268
1303,2021-03-09,India,India,1253268
1306,2021-03-14,South Africa,India,1253270
1307,2021-03-14,South Africa,South Africa,1253270
1308,2021-03-17,South Africa,India,1253271
1309,2021-03-17,South Africa,South Africa,1253271
1830,2007-01-22,South Africa,South Africa,271465
1831,2007-01-22,South Africa,Pakistan,271465
1832,2007-01-24,South Africa,Pakistan,271466
1833,2007-01-24,South Africa,South Africa,271466
1836,2007-03-05,Australia,New Zealand,276226
1837,2007-03-05,Australia,Australia,276226
2004,2008-02-21,South Africa,South Africa,312291
2005,2008-02-21,South Africa,Netherlands,312291
2006,2008-02-22,South Africa,Ireland,312295
2007,2008-02-22,South Africa,South Africa,312295
2008,2008-02-22,Pakistan,Pakistan,312296
2009,2008-02-22,Pakistan,Netherlands,312296
2098,2008-05-08,India,Sri Lanka,341302
2099,2008-05-08,India,India,341302
2100,2008-05-11,India,India,341306
2101,2008-05-11,India,Sri Lanka,341306
2184,2009-03-10,England,England,357962
2185,2009-03-10,England,India,357962
2246,2009-06-29,England,England,383283
2247,2009-06-29,England,Australia,383283
2396,2009-10-21,South Africa,South Africa,423387
2397,2009-10-21,South Africa,West Indies,423387
2906,2011-10-21,England,South Africa,527679
2907,2011-10-21,England,England,527679
2908,2011-10-23,England,South Africa,527680
2909,2011-10-23,England,England,527680
2910,2011-10-25,England,South Africa,527681
2911,2011-10-25,England,England,527681
3000,2012-07-01,India,England,542852
3001,2012-07-01,India,India,542852
3002,2012-07-04,India,England,542853
3003,2012-07-04,India,India,542853
3004,2012-07-05,England,England,542854
3005,2012-07-05,England,India,542854
3162,2012-12-12,New Zealand,Australia,584546
3163,2012-12-12,New Zealand,New Zealand,584546
3164,2012-12-14,Australia,Australia,584547
3165,2012-12-14,Australia,New Zealand,584547
3166,2012-12-19,Australia,Australia,584549
3167,2012-12-19,Australia,New Zealand,584549
3186,2013-08-20,Australia,England,593723
3187,2013-08-20,Australia,Australia,593723
3188,2013-08-23,England,England,593724
3189,2013-08-23,England,Australia,593724
3190,2013-08-25,England,England,593725
3191,2013-08-25,England,Australia,593725
3196,2013-01-31,India,India,594891
3197,2013-01-31,India,West Indies,594891
3198,2013-02-01,Sri Lanka,England,594894
3199,2013-02-01,Sri Lanka,Sri Lanka,594894
3200,2013-02-03,England,India,594897
3201,2013-02-03,England,England,594897
3202,2013-02-05,Sri Lanka,India,594901
3203,2013-02-05,Sri Lanka,Sri Lanka,594901
3204,2013-02-08,Australia,Australia,594904
3205,2013-02-08,Australia,England,594904
3206,2013-02-10,Australia,Australia,594907
3207,2013-02-10,Australia,Sri Lanka,594907
3208,2013-02-11,West Indies,New Zealand,594909
3209,2013-02-11,West Indies,West Indies,594909
3210,2013-02-13,England,England,594912
3211,2013-02-13,England,New Zealand,594912
3212,2013-02-15,England,England,594914
3213,2013-02-15,England,New Zealand,594914
3214,2013-02-17,Australia,Australia,594915
3215,2013-02-17,Australia,West Indies,594915
3242,2013-02-22,West Indies,Sri Lanka,603239
3243,2013-02-22,West Indies,West Indies,603239
3244,2013-02-24,Sri Lanka,Sri Lanka,603240
3245,2013-02-24,Sri Lanka,West Indies,603240
3246,2013-02-26,West Indies,Sri Lanka,603241
3247,2013-02-26,West Indies,West Indies,603241
3254,2013-07-01,England,England,627006
3255,2013-07-01,England,Pakistan,627006
3256,2013-07-03,England,England,627007
3257,2013-07-03,England,Pakistan,627007
3296,2013-07-17,Pakistan,Ireland,644943
3297,2013-07-17,Pakistan,Pakistan,644943
3298,2013-07-19,Pakistan,Ireland,644945
3299,2013-07-19,Pakistan,Pakistan,644945
3672,2013-09-20,South Africa,South Africa,664299
3673,2013-09-20,South Africa,Bangladesh,664299
3674,2013-09-24,South Africa,South Africa,664303
3675,2013-09-24,South Africa,Bangladesh,664303
3676,2014-01-19,England,Australia,666039
3677,2014-01-19,England,England,666039
3678,2014-01-23,Australia,Australia,666041
3679,2014-01-23,Australia,England,666041
3680,2014-01-26,Australia,Australia,666043
3681,2014-01-26,Australia,England,666043
3710,2013-10-26,South Africa,South Africa,668511
3711,2013-10-26,South Africa,Sri Lanka,668511
3792,2014-08-23,England,England,722391
3793,2014-08-23,England,India,722391
3948,2014-08-23,Australia,Australia,754787
3949,2014-08-24,Australia,Pakistan,754787
3950,2014-08-26,Australia,Australia,754789
3951,2014-08-26,Australia,Pakistan,754789
3952,2014-11-11,Australia,Australia,754809
3953,2014-11-11,Australia,West Indies,754809
3954,2014-11-13,Australia,Australia,754811
3955,2014-11-13,Australia,West Indies,754811
3956,2014-11-16,Australia,Australia,754813
3957,2014-11-16,Australia,West Indies,754813
3958,2014-11-18,Australia,Australia,754815
3959,2014-11-18,Australia,West Indies,754815
3968,2014-10-19,Sri Lanka,Sri Lanka,757507
3969,2014-10-19,Sri Lanka,South Africa,757507
3970,2014-10-21,South Africa,Sri Lanka,757509
3971,2014-10-21,South Africa,South Africa,757509
4000,2015-07-21,England,England,798369
4001,2015-07-21,England,Australia,798369
4002,2015-07-23,Australia,England,798371
4003,2015-07-23,Australia,Australia,798371
4004,2015-07-26,Australia,England,798373
4005,2015-07-27,Australia,Australia,798373
4020,2015-01-11,Pakistan,Pakistan,808863
4021,2015-01-11,Pakistan,Sri Lanka,808863
4022,2015-01-13,Pakistan,Pakistan,808865
4023,2015-01-13,Pakistan,Sri Lanka,808865
4038,2015-03-17,South Africa,Pakistan,828245
4039,2015-03-17,South Africa,South Africa,828245
4074,2015-07-06,India,India,872481
4075,2015-07-06,India,New Zealand,872481
4076,2015-07-08,India,India,872483
4077,2015-07-08,India,New Zealand,872483
4090,2016-02-07,India,Australia,895797
4091,2016-02-07,India,India,895797
4122,2016-02-24,West Indies,South Africa,907389
4123,2016-02-24,West Indies,West Indies,907389
4124,2016-02-27,West Indies,South Africa,907391
4125,2016-02-27,West Indies,West Indies,907391
4126,2016-02-29,South Africa,South Africa,907393
4127,2016-02-29,South Africa,West Indies,907393
4180,2015-11-03,New Zealand,New Zealand,916645
4181,2015-11-03,New Zealand,Sri Lanka,916645
4182,2015-11-05,New Zealand,New Zealand,916647
4183,2015-11-05,New Zealand,Sri Lanka,916647
4184,2016-02-20,New Zealand,New Zealand,916661
4185,2016-02-20,New Zealand,Australia,916661
4186,2016-02-22,Australia,New Zealand,916663
4187,2016-02-22,Australia,Australia,916663
4200,2015-10-06,Pakistan,Pakistan,923327
4201,2015-10-06,Pakistan,Bangladesh,923327
4234,2016-10-11,South Africa,South Africa,935813
4235,2016-10-11,South Africa,New Zealand,935813
4236,2016-10-17,New Zealand,South Africa,935817
4237,2016-10-17,New Zealand,New Zealand,935817
4238,2016-10-19,New Zealand,South Africa,935819
4239,2016-10-19,New Zealand,New Zealand,935819
4240,2016-10-22,South Africa,South Africa,935821
4241,2016-10-22,South Africa,New Zealand,935821
4242,2016-10-24,New Zealand,South Africa,935823
4243,2016-10-24,New Zealand,New Zealand,935823
4268,2016-06-20,England,England,946545
4269,2016-06-21,England,Pakistan,946545
4270,2016-06-22,England,England,946547
4271,2016-06-22,England,Pakistan,946547
4272,2016-06-27,England,England,946549
4273,2016-06-27,England,Pakistan,946549
4284,2016-08-11,Ireland,Ireland,962017
4285,2016-08-11,Ireland,South Africa,962017
